,NUM_TRADES,PRICE,TIME,TRAILING_PRICE_1,TRAILING_PRICE_2,TRAILING_PRICE_3,TRAILING_PRICE_4,TRAILING_PRICE_5,VOLUME
70,0,370.0,2014-12-01 09:10:00,370.0,370.0,370.0,370.0,370.0,0.0
71,0,370.0,2014-12-01 09:20:00,370.0,370.0,370.0,370.0,370.0,0.0
72,0,370.0,2014-12-01 09:30:00,370.0,370.0,370.0,370.0,370.0,0.0
73,0,370.0,2014-12-01 09:40:00,370.0,370.0,370.0,370.0,370.0,0.0
74,0,370.0,2014-12-01 09:50:00,370.0,370.0,370.0,370.0,370.0,0.0
75,0,370.0,2014-12-01 10:00:00,370.0,370.0,370.0,370.0,370.0,0.0
76,0,370.0,2014-12-01 10:10:00,370.0,370.0,370.0,370.0,370.0,0.0
77,0,370.0,2014-12-01 10:20:00,370.0,370.0,370.0,370.0,370.0,0.0
78,0,370.0,2014-12-01 10:30:00,370.0,370.0,370.0,370.0,370.0,0.0
79,0,370.0,2014-12-01 10:40:00,370.0,370.0,370.0,370.0,370.0,0.0
80,0,370.0,2014-12-01 10:50:00,370.0,370.0,370.0,370.0,370.0,0.0
81,0,370.0,2014-12-01 11:00:00,370.0,370.0,370.0,370.0,370.0,0.0
82,0,370.0,2014-12-01 11:10:00,370.0,370.0,370.0,370.0,370.0,0.0
83,0,370.0,2014-12-01 11:20:00,370.0,370.0,370.0,370.0,370.0,0.0
84,0,370.0,2014-12-01 11:30:00,370.0,370.0,370.0,370.0,370.0,0.0
85,0,370.0,2014-12-01 11:40:00,370.0,370.0,370.0,370.0,370.0,0.0
86,0,370.0,2014-12-01 11:50:00,370.0,370.0,370.0,370.0,370.0,0.0
87,0,370.0,2014-12-01 12:00:00,370.0,370.0,370.0,370.0,370.0,0.0
88,0,370.0,2014-12-01 12:10:00,370.0,370.0,370.0,370.0,370.0,0.0
89,0,370.0,2014-12-01 12:20:00,370.0,370.0,370.0,370.0,370.0,0.0
90,0,370.0,2014-12-01 12:30:00,370.0,370.0,370.0,370.0,370.0,0.0
91,0,370.0,2014-12-01 12:40:00,370.0,370.0,370.0,370.0,370.0,0.0
92,0,370.0,2014-12-01 12:50:00,370.0,370.0,370.0,370.0,370.0,0.0
93,0,370.0,2014-12-01 13:00:00,370.0,370.0,370.0,370.0,370.0,0.0
94,0,370.0,2014-12-01 13:10:00,370.0,370.0,370.0,370.0,370.0,0.0
95,0,370.0,2014-12-01 13:20:00,370.0,370.0,370.0,370.0,370.0,0.0
96,0,370.0,2014-12-01 13:30:00,370.0,370.0,370.0,370.0,370.0,0.0
97,0,370.0,2014-12-01 13:40:00,370.0,370.0,370.0,370.0,370.0,0.0
98,0,370.0,2014-12-01 13:50:00,370.0,370.0,370.0,370.0,370.0,0.0
99,0,370.0,2014-12-01 14:00:00,370.0,370.0,370.0,370.0,370.0,0.0
100,0,370.0,2014-12-01 14:10:00,370.0,370.0,370.0,370.0,370.0,0.0
101,0,370.0,2014-12-01 14:20:00,370.0,370.0,370.0,370.0,370.0,0.0
102,0,370.0,2014-12-01 14:30:00,370.0,370.0,370.0,370.0,370.0,0.0
103,0,370.0,2014-12-01 14:40:00,370.0,370.0,370.0,370.0,370.0,0.0
104,0,370.0,2014-12-01 14:50:00,370.0,370.0,370.0,370.0,370.0,0.0
105,0,370.0,2014-12-01 15:00:00,370.0,370.0,370.0,370.0,370.0,0.0
106,0,370.0,2014-12-01 15:10:00,370.0,370.0,370.0,370.0,370.0,0.0
107,0,370.0,2014-12-01 15:20:00,370.0,370.0,370.0,370.0,370.0,0.0
108,0,370.0,2014-12-01 15:30:00,370.0,370.0,370.0,370.0,370.0,0.0
109,0,370.0,2014-12-01 15:40:00,370.0,370.0,370.0,370.0,370.0,0.0
110,0,370.0,2014-12-01 15:50:00,370.0,370.0,370.0,370.0,370.0,0.0
111,0,370.0,2014-12-01 16:00:00,370.0,370.0,370.0,370.0,370.0,0.0
112,0,370.0,2014-12-01 16:10:00,370.0,370.0,370.0,370.0,370.0,0.0
113,0,370.0,2014-12-01 16:20:00,370.0,370.0,370.0,370.0,370.0,0.0
114,0,370.0,2014-12-01 16:30:00,370.0,370.0,370.0,370.0,370.0,0.0
115,0,370.0,2014-12-01 16:40:00,370.0,370.0,370.0,370.0,370.0,0.0
116,0,370.0,2014-12-01 16:50:00,370.0,370.0,370.0,370.0,370.0,0.0
117,0,370.0,2014-12-01 17:00:00,370.0,370.0,370.0,370.0,370.0,0.0
118,0,370.0,2014-12-01 17:10:00,370.0,370.0,370.0,370.0,370.0,0.0
119,0,370.0,2014-12-01 17:20:00,370.0,370.0,370.0,370.0,370.0,0.0
120,0,370.0,2014-12-01 17:30:00,370.0,370.0,370.0,370.0,370.0,0.0
121,0,370.0,2014-12-01 17:40:00,370.0,370.0,370.0,370.0,370.0,0.0
122,0,370.0,2014-12-01 17:50:00,370.0,370.0,370.0,370.0,370.0,0.0
123,0,370.0,2014-12-01 18:00:00,370.0,370.0,370.0,370.0,370.0,0.0
124,0,370.0,2014-12-01 18:10:00,370.0,370.0,370.0,370.0,370.0,0.0
125,0,370.0,2014-12-01 18:20:00,370.0,370.0,370.0,370.0,370.0,0.0
126,0,370.0,2014-12-01 18:30:00,370.0,370.0,370.0,370.0,370.0,0.0
127,0,370.0,2014-12-01 18:40:00,370.0,370.0,370.0,370.0,370.0,0.0
128,0,370.0,2014-12-01 18:50:00,370.0,370.0,370.0,370.0,370.0,0.0
129,0,370.0,2014-12-01 19:00:00,370.0,370.0,370.0,370.0,370.0,0.0
130,0,370.0,2014-12-01 19:10:00,370.0,370.0,370.0,370.0,370.0,0.0
131,0,370.0,2014-12-01 19:20:00,370.0,370.0,370.0,370.0,370.0,0.0
132,0,370.0,2014-12-01 19:30:00,370.0,370.0,370.0,370.0,370.0,0.0
133,0,370.0,2014-12-01 19:40:00,370.0,370.0,370.0,370.0,370.0,0.0
134,0,370.0,2014-12-01 19:50:00,370.0,370.0,370.0,370.0,370.0,0.0
135,0,370.0,2014-12-01 20:00:00,370.0,370.0,370.0,370.0,370.0,0.0
136,0,370.0,2014-12-01 20:10:00,370.0,370.0,370.0,370.0,370.0,0.0
137,0,370.0,2014-12-01 20:20:00,370.0,370.0,370.0,370.0,370.0,0.0
138,0,370.0,2014-12-01 20:30:00,370.0,370.0,370.0,370.0,370.0,0.0
139,0,370.0,2014-12-01 20:40:00,370.0,370.0,370.0,370.0,370.0,0.0
140,0,370.0,2014-12-01 20:50:00,370.0,370.0,370.0,370.0,370.0,0.0
141,0,370.0,2014-12-01 21:00:00,370.0,370.0,370.0,370.0,370.0,0.0
142,0,370.0,2014-12-01 21:10:00,370.0,370.0,370.0,370.0,370.0,0.0
143,0,370.0,2014-12-01 21:20:00,370.0,370.0,370.0,370.0,370.0,0.0
144,1,377.0,2014-12-01 21:30:00,370.0,370.0,370.0,370.0,370.0,0.01
145,0,377.0,2014-12-01 21:40:00,377.0,370.0,370.0,370.0,370.0,0.0
146,0,377.0,2014-12-01 21:50:00,377.0,377.0,370.0,370.0,370.0,0.0
147,0,377.0,2014-12-01 22:00:00,377.0,377.0,370.0,370.0,370.0,0.0
148,0,377.0,2014-12-01 22:10:00,377.0,377.0,377.0,370.0,370.0,0.0
149,0,377.0,2014-12-01 22:20:00,377.0,377.0,377.0,370.0,370.0,0.0
150,0,377.0,2014-12-01 22:30:00,377.0,377.0,377.0,370.0,370.0,0.0
151,0,377.0,2014-12-01 22:40:00,377.0,377.0,377.0,370.0,370.0,0.0
152,0,377.0,2014-12-01 22:50:00,377.0,377.0,377.0,377.0,370.0,0.0
153,0,377.0,2014-12-01 23:00:00,377.0,377.0,377.0,377.0,370.0,0.0
154,0,377.0,2014-12-01 23:10:00,377.0,377.0,377.0,377.0,370.0,0.0
155,0,377.0,2014-12-01 23:20:00,377.0,377.0,377.0,377.0,370.0,0.0
156,0,377.0,2014-12-01 23:30:00,377.0,377.0,377.0,377.0,370.0,0.0
157,0,377.0,2014-12-01 23:40:00,377.0,377.0,377.0,377.0,370.0,0.0
158,0,377.0,2014-12-01 23:50:00,377.0,377.0,377.0,377.0,370.0,0.0
159,0,377.0,2014-12-02 00:00:00,377.0,377.0,377.0,377.0,370.0,0.0
160,0,377.0,2014-12-02 00:10:00,377.0,377.0,377.0,377.0,377.0,0.0
161,0,377.0,2014-12-02 00:20:00,377.0,377.0,377.0,377.0,377.0,0.0
162,0,377.0,2014-12-02 00:30:00,377.0,377.0,377.0,377.0,377.0,0.0
163,0,377.0,2014-12-02 00:40:00,377.0,377.0,377.0,377.0,377.0,0.0
164,0,377.0,2014-12-02 00:50:00,377.0,377.0,377.0,377.0,377.0,0.0
165,0,377.0,2014-12-02 01:00:00,377.0,377.0,377.0,377.0,377.0,0.0
166,0,377.0,2014-12-02 01:10:00,377.0,377.0,377.0,377.0,377.0,0.0
167,0,377.0,2014-12-02 01:20:00,377.0,377.0,377.0,377.0,377.0,0.0
168,0,377.0,2014-12-02 01:30:00,377.0,377.0,377.0,377.0,377.0,0.0
169,0,377.0,2014-12-02 01:40:00,377.0,377.0,377.0,377.0,377.0,0.0
170,0,377.0,2014-12-02 01:50:00,377.0,377.0,377.0,377.0,377.0,0.0
171,0,377.0,2014-12-02 02:00:00,377.0,377.0,377.0,377.0,377.0,0.0
172,0,377.0,2014-12-02 02:10:00,377.0,377.0,377.0,377.0,377.0,0.0
173,0,377.0,2014-12-02 02:20:00,377.0,377.0,377.0,377.0,377.0,0.0
174,0,377.0,2014-12-02 02:30:00,377.0,377.0,377.0,377.0,377.0,0.0
175,0,377.0,2014-12-02 02:40:00,377.0,377.0,377.0,377.0,377.0,0.0
176,0,377.0,2014-12-02 02:50:00,377.0,377.0,377.0,377.0,377.0,0.0
177,3,378.0,2014-12-02 03:00:00,377.0,377.0,377.0,377.0,377.0,8.9
